"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\logicConstants.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\uiConstants.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\loader\calendarIndexLoader.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 5, 19
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\loader\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\loader\overviewLoader.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\logic\processFormDataFromScheduler.js", "JavaScript", 0, 185, 0, 0, 0, 0, 34, 29, 248
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\logic\processGpxData.js", "JavaScript", 0, 173, 0, 0, 0, 0, 31, 39, 243
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\pages\CalendarEditModal.jsx", "JavaScript JSX", 0, 0, 0, 95, 0, 0, 0, 11, 106
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\pages\CalendarView.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 4, 7, 66
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\pages\CreateEquipment.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\pages\CreateScheduleModal.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 4, 40
